date,time,plate,confidence,direction,duration_minutes
2025-06-20,13:10:44,MN789PQ,0.82,in,11
2025-06-20,10:47:24,JK321LM,0.96,in,3
2025-06-20,10:19:47,AB123CD,0.72,in,20
2025-06-20,17:47:44,AB123CD,0.83,in,6
2025-06-20,15:02:39,XY456ZT,0.89,in,19
2025-06-20,09:33:37,XY456ZT,0.96,in,17
2025-06-20,09:27:52,GH654RS,0.8,in,5
2025-06-20,10:16:09,MN789PQ,0.85,in,8
2025-06-20,15:12:09,MN789PQ,0.98,in,10
2025-06-20,15:34:08,XY456ZT,0.95,in,7
2025-06-20,09:57:24,JK321LM,0.97,in,17
2025-06-20,12:30:31,XY456ZT,0.82,in,15
2025-06-20,16:17:14,XY456ZT,0.95,in,14
2025-06-20,12:34:57,JK321LM,0.94,in,14
2025-06-20,14:43:31,JK321LM,0.96,in,20
2025-06-20,12:59:57,GH654RS,0.72,in,13
2025-06-20,13:05:16,AB123CD,0.79,in,13
2025-06-20,10:22:15,GH654RS,0.88,in,20
2025-06-20,17:01:54,AB123CD,0.89,in,4
2025-06-20,13:47:18,MN789PQ,0.84,in,4
2025-06-21,09:14:21,JK321LM,0.84,in,18
2025-06-21,16:49:45,XY456ZT,0.72,in,15
2025-06-21,12:10:43,AB123CD,0.89,in,2
2025-06-21,15:11:11,MN789PQ,0.71,in,2
2025-06-21,13:06:57,MN789PQ,0.76,in,9
2025-06-21,17:05:25,JK321LM,0.8,in,4
2025-06-21,15:23:21,AB123CD,0.86,in,17
2025-06-21,10:16:07,XY456ZT,0.78,in,15
2025-06-21,15:53:04,JK321LM,0.87,in,16
2025-06-21,17:31:06,AB123CD,0.88,in,19
2025-06-21,11:26:01,JK321LM,0.75,in,18
2025-06-21,16:34:19,JK321LM,0.88,in,4
2025-06-21,16:44:36,AB123CD,0.82,in,5
2025-06-21,11:04:20,XY456ZT,0.88,in,17
2025-06-21,10:20:49,GH654RS,0.74,in,14
2025-06-21,09:23:22,MN789PQ,0.78,in,20
2025-06-21,12:21:40,AB123CD,0.99,in,20
2025-06-21,09:41:30,GH654RS,0.89,in,17
2025-06-21,16:12:19,AB123CD,0.75,in,3
2025-06-21,12:27:23,XY456ZT,0.79,in,15
2025-06-22,09:18:01,GH654RS,0.88,in,2
2025-06-22,12:21:34,AB123CD,0.71,in,3
2025-06-22,09:56:44,JK321LM,0.93,in,14
2025-06-22,11:15:47,AB123CD,0.79,in,19
2025-06-22,14:54:01,XY456ZT,0.95,in,7
2025-06-22,11:09:21,GH654RS,0.83,in,11
2025-06-22,13:12:06,GH654RS,0.86,in,15
2025-06-22,11:03:21,GH654RS,0.73,in,13
2025-06-22,11:54:42,XY456ZT,0.81,in,4
2025-06-22,12:06:23,JK321LM,0.91,in,19
2025-06-22,12:51:00,JK321LM,0.81,in,6
2025-06-22,17:57:37,JK321LM,0.81,in,2
2025-06-22,16:05:56,AB123CD,0.96,in,16
2025-06-22,14:19:35,AB123CD,0.88,in,9
2025-06-22,12:23:58,GH654RS,0.78,in,15
2025-06-22,10:25:17,MN789PQ,0.79,in,19
2025-06-22,14:38:46,JK321LM,0.8,in,19
2025-06-22,10:25:48,XY456ZT,0.77,in,12
2025-06-22,13:54:42,JK321LM,0.72,in,8
2025-06-22,16:05:56,GH654RS,0.81,in,14
2025-06-23,13:39:39,GH654RS,0.77,in,1
2025-06-23,14:34:22,JK321LM,0.86,in,3
2025-06-23,13:45:37,MN789PQ,0.9,in,2
2025-06-23,10:07:34,XY456ZT,0.97,in,8
2025-06-23,09:07:06,AB123CD,0.77,in,6
2025-06-23,13:39:33,GH654RS,0.81,in,12
2025-06-23,14:46:49,GH654RS,0.93,in,8
2025-06-23,16:41:22,JK321LM,0.86,in,13
2025-06-23,10:57:58,XY456ZT,0.72,in,11
2025-06-23,11:53:23,GH654RS,0.99,in,14
2025-06-23,15:34:47,XY456ZT,0.89,in,19
2025-06-23,17:07:07,GH654RS,0.95,in,3
2025-06-23,11:35:05,MN789PQ,0.91,in,13
2025-06-23,10:24:43,MN789PQ,0.79,in,19
2025-06-23,10:26:59,XY456ZT,0.96,in,4
2025-06-23,12:47:52,MN789PQ,0.74,in,3
2025-06-23,13:46:34,MN789PQ,0.89,in,3
2025-06-23,17:56:05,GH654RS,0.96,in,16
2025-06-23,11:02:24,GH654RS,0.92,in,10
2025-06-23,14:38:36,AB123CD,0.86,in,20
2025-06-24,09:43:05,XY456ZT,0.84,in,10
2025-06-24,10:59:47,AB123CD,0.73,in,5
2025-06-24,14:18:44,JK321LM,0.84,in,15
2025-06-24,16:13:09,AB123CD,0.86,in,12
2025-06-24,15:37:58,JK321LM,0.73,in,16
2025-06-24,15:56:34,AB123CD,0.91,in,4
2025-06-24,12:07:49,AB123CD,0.93,in,19
2025-06-24,16:25:41,JK321LM,0.71,in,6
2025-06-24,15:50:39,MN789PQ,0.79,in,5
2025-06-24,15:49:35,GH654RS,0.89,in,3
2025-06-24,15:12:26,AB123CD,0.97,in,6
2025-06-24,15:30:03,MN789PQ,0.99,in,17
2025-06-24,15:03:12,XY456ZT,0.86,in,11
2025-06-24,15:06:28,JK321LM,0.85,in,1
2025-06-24,14:32:18,XY456ZT,0.96,in,10
2025-06-24,11:54:51,MN789PQ,0.84,in,19
2025-06-24,10:52:35,JK321LM,0.85,in,11
2025-06-24,15:10:15,MN789PQ,0.87,in,17
2025-06-24,10:39:16,XY456ZT,0.78,in,7
2025-06-24,17:06:21,JK321LM,0.83,in,8
