Date,Time,Plate,Confidence
2025-06-29,09:45:32,R183JF,0.70
2025-06-29,09:45:33,PN894JV,0.70
2025-06-29,09:45:34,N894JV,0.70
2025-06-29,09:45:35,BL656XH,0.70
2025-06-29,09:45:36,L656XH,0.70
2025-06-29,09:45:36,L656XH,0.70
2025-06-29,09:45:37,L656XH,0.70
2025-06-29,09:45:38,BH644LX,0.70
2025-06-29,09:45:40,K884RS,0.70
2025-06-29,09:45:41,66HH07,0.70
2025-06-29,09:45:42,66HH07,0.70
2025-06-29,09:45:42,66HH07,0.70
2025-06-29,09:45:44,L6OSTZ,0.26
2025-06-29,09:45:45,L6O5HZ,0.71
2025-06-29,09:45:47,L605HZ,0.70
2025-06-29,09:45:47,L605HZ,0.70
2025-06-29,10:22:29,R183JF,0.70
2025-06-29,10:22:31,PN894JV,0.70
2025-06-29,10:22:32,N894JV,0.70
2025-06-29,10:22:33,BL656XH,0.70
2025-06-29,10:22:34,L656XH,0.70
2025-06-29,10:22:34,L656XH,0.70
2025-06-29,10:22:35,L656XH,0.70
2025-06-29,10:22:37,BH644LX,0.70
2025-06-29,10:22:38,K884RS,0.70
2025-06-29,10:22:39,66HH07,0.70
2025-06-29,10:22:40,66HH07,0.70
2025-06-29,10:22:42,66HH07,0.70
2025-06-29,10:22:43,L6OSTZ,0.26
2025-06-29,10:22:44,L6O5HZ,0.71
2025-06-29,10:22:46,L605HZ,0.70
2025-06-29,10:22:46,L605HZ,0.70
