Date,Time,Plate,Confidence
2025-06-29,09:45:30,YZ466FY,0.84
2025-06-29,09:45:33,GN165JB,0.96
2025-06-29,09:45:36,OL741OO,0.69
2025-06-29,09:45:39,MB335ZL,0.86
2025-06-29,09:45:42,EK240TJ,0.62
2025-06-29,09:45:45,RJ704WM,0.69
2025-06-29,09:45:48,TT323EW,0.83
2025-06-29,09:45:51,JP361RI,0.87
2025-06-29,09:45:54,LZ412BY,0.81
2025-06-29,09:45:57,DZ378OY,0.65
2025-06-29,09:46:00,ZP462GD,0.66
2025-06-29,09:46:03,MY929UP,0.62
2025-06-29,09:46:06,FL191XN,0.69
2025-06-29,09:46:09,TD877EB,0.79
2025-06-29,09:46:12,CA986JX,0.97
2025-06-29,09:46:15,SG195HS,0.89
2025-06-29,09:46:18,JN197BU,0.63
2025-06-29,09:46:21,BV214GX,0.99
2025-06-29,09:46:24,GQ810ZM,0.87
2025-06-29,09:46:27,MI350KJ,0.7
2025-06-29,09:46:30,IU880TP,0.93
2025-06-29,09:46:33,ZC681HS,0.96
2025-06-29,09:46:36,QO645NV,0.65
2025-06-29,09:46:39,ZZ369NB,0.89
2025-06-29,09:46:42,YD611SK,0.88
2025-06-29,09:46:45,OA683OJ,0.88
2025-06-29,09:46:48,JZ251VH,0.87
2025-06-29,09:46:51,WH516YD,0.64
2025-06-29,09:46:54,XJ722TB,0.89
2025-06-29,09:46:57,UG585UQ,0.76
2025-06-29,09:47:00,CI818VV,0.67
2025-06-29,09:47:03,RW117FJ,0.78
2025-06-29,09:47:06,BU684KX,0.81
2025-06-29,09:47:09,PQ586WC,0.93
2025-06-29,09:47:12,HS446TB,0.87
2025-06-29,09:47:15,XF905YC,0.96
2025-06-29,09:47:18,BY215RG,0.66
2025-06-29,09:47:21,WP266BO,0.8
2025-06-29,09:47:24,QP561OY,0.76
2025-06-29,09:47:27,YK163SM,0.81
2025-06-29,09:47:30,UK715DD,0.93
2025-06-29,09:47:33,VP267NM,0.88
2025-06-29,09:47:36,WA696CL,0.63
2025-06-29,09:47:39,VR251BO,0.62
2025-06-29,09:47:42,HX682TV,0.76
2025-06-29,09:47:45,NJ764QG,0.77
2025-06-29,09:47:48,DP927NY,0.66
2025-06-29,09:47:51,PH939JZ,0.8
2025-06-29,09:47:54,TZ203AQ,0.78
2025-06-29,09:47:57,WC313ID,0.9
